Name,EPS12,EPS13,EPS14,EPS15,EPS16,Rev12,Rev13,Rev14,Rev15,Rev16,NP12,NP13,NP14,NP15,NP16,PE
2S,0.21,0.23,0.15,0.11,1.14,"4,065.19","4,100.96","4,246.66","3,714.00","3,946.83",52.64,68.03,41.9,33.72,343.07,6.44
A,0.12,0.02,0.04,0.22,0.27,"1,835.16","1,807.77","2,559.35","5,453.70","4,724.97",94.35,13.78,41.27,216.69,263.34,27.94
AAV,3.44,0.22,0.04,0.22,0.39,"31,246.04","24,413.84","26,275.30","30,463.58","33,130.30","15,648.57","1,042.76",183.18,"1,078.48","1,869.46",20.85
ABC,,,,,,342.71,137.04,60.44,60.3,56.21,-56.29,-127.65,-52.1,-73.32,-108.68,
ABICO,0.87,0.51,0.47,0.45,0.62,511.22,598.71,685.65,632.6,648.31,203.88,118.92,110.02,105.23,146.41,16.86
ACAP,,,,,0.69,233.88,142.09,167.23,154.12,421.15,-62.75,-107.59,-42.98,-25.14,174.33,26.76
ACC,,0.25,0.04,,,97.55,120.54,142.33,33.13,196.07,-8.74,48.01,8.45,-14.19,-22.52,
ADAM,,,,,3.12,220.19,93.52,75.41,132.89,"1,207.09",-50.44,-14.6,-69.82,"-1,095.65","1,153.08",
ADVANC,11.73,12.2,12.12,13.17,10.31,"142,684.54","143,653.64","150,028.94","156,015.25","152,717.99","34,883.23","36,274.13","36,033.17","39,152.41","30,666.54",16.93
AEC,0.06,,0.01,,,48.64,50.44,726.98,741.27,821.59,10.15,-40.07,12.38,-192.57,-24.88,
AEONTS,0.64,6.75,10.01,9.67,0.6,"9,680.80","11,502.33","14,556.61","16,579.05",395.45,161.07,"1,688.47","2,501.44","2,417.53",149.13,11.6
AF,1.1,1.62,0.62,,0.03,174.76,214.43,185.89,191.19,189.59,44.04,64.73,24.9,0.15,50.77,28.24
AFC,,0.19,0.31,,,"1,409.65","1,100.76","1,133.09",878.15,769.14,-22.71,8.44,14.06,-52.22,-11.95,39.74
AGE,,0.07,,0.07,0.09,"4,404.28","5,068.33","6,675.00","4,317.71","4,667.93",-24.31,95.33,-35.95,110.49,153.66,15.33
AH,4.05,2.05,1.14,0.97,1.7,"17,134.63","17,245.03","15,330.24","15,144.95","15,364.23",917.22,610.71,366.96,313.07,543.09,11.98
AHC,1.38,1.27,1.21,1.07,1.22,"1,287.47","1,395.47","1,524.51","1,531.29","1,620.16",172.36,190.5,181.69,160.21,182.54,31.82
AI,0.38,0.52,0.58,0.07,0.1,"4,350.61","5,068.11","5,499.97","4,381.89","4,673.91",190.21,259.68,291.89,183.74,293.85,14.58
AIE,,0.25,0.09,,0.01,"3,461.94","4,235.78","4,441.44","3,533.44","3,489.97",-51.84,200.83,96.88,-72.66,42.7,31.26
AIRA,,0.03,0.02,,,,792.03,863.59,700.29,689.4,,90.02,71.25,-98.96,-107.84,
AIT,5.41,7.74,3.19,2.58,2.08,"4,188.06","6,023.23","6,651.55","5,271.21","4,419.08",367.59,567.62,658.56,532.51,429.39,12.82
AJ,0.48,,,0.01,0.3,"5,286.59","5,452.36","6,545.55","6,259.45","7,032.50",190.01,-97.98,-247.86,3.79,121.25,22.82
AJD,0.14,0.14,0.04,,0.09,"1,751.18","1,650.36","1,869.92","1,768.81","2,558.05",32.31,68.3,122.15,6.38,355.46,14.08
AKP,0.15,0.12,0.12,0.14,0.13,363.82,492.08,547.99,531.49,531.1,48.07,42.15,49,55.07,54.17,18.34
AKR,0.14,0.59,0.08,0.07,,"2,330.89","2,469.85","2,075.96","2,111.76","1,698.49",111.09,504.21,104.68,94.61,-62.18,
ALLA,,,,,0.12,,,,,607.46,,,,,59.01,30.89
ALT,,,,0.36,0.32,,,,"2,624.17","2,038.76",,,,206.68,279.13,28.94
ALUCON,13.9,15.72,17.38,17.94,24.76,"4,938.07","5,199.64","5,820.02","6,007.94","6,220.59",600.35,679.24,750.73,775.07,"1,069.81",12.36
AMA,,,,,0.46,,,,,973.81,,,,,143.91,52.45
AMANAH,0.02,,,,0.03,324.91,324.34,275.38,229.38,351.27,14.62,-56.99,-224.29,-136.41,31.44,40.9
AMARIN,1.75,1.43,,,,"2,179.60","2,088.63","1,913.97","2,003.86","1,945.01",349.02,285.08,-85.18,-417.15,-628.12,
AMATA,1.35,1.42,2.08,1.14,1.12,"6,167.15","7,605.55","7,856.56","6,391.04","5,057.99","1,444.54","1,515.58","2,223.97","1,216.02","1,198.27",13.1
AMATAV,,,,0.16,0.05,,,,809.65,906.43,,,,121.37,49.82,1199.78
AMC,0.34,0.34,,,0.73,"7,353.44","5,445.55","4,833.60","4,261.23","5,125.99",163.92,165.05,-17.54,-241.78,349.3,5.22
ANAN,,0.24,0.39,0.36,0.42,"5,146.62","9,227.63","10,580.00","11,025.35","12,345.19",-287.45,811.54,"1,301.17","1,206.64","1,501.44",11.38
AOT,4.55,11.44,8.55,13.11,13.7,"32,475.17","44,949.85","39,770.73","45,773.37","52,783.34","6,499.75","16,347.35","12,220.37","18,728.65","19,571.46",30.12
AP,0.82,0.7,0.83,0.83,0.86,"17,503.04","20,060.33","23,206.98","22,398.00","20,818.40","2,329.26","2,013.30","2,615.45","2,623.38","2,702.56",8.95
APCO,0.28,0.39,0.46,0.04,0.05,294.37,355.87,433.07,415.83,454.71,55.73,78.84,118.77,100.62,131.42,31.45
APCS,0.31,,,,0.08,"1,073.17",972.98,806.06,826.19,990.79,101.6,-16.27,-70.7,-7.49,55.6,53.99
APURE,0.1,0.03,0.12,0.11,0.22,"1,135.77","1,110.99","1,239.98","1,247.01","1,565.12",55.7,17.29,79.31,96.29,191.6,12.82
APX,,,0.01,0.03,0.02,4.48,6.18,891.96,785.69,844.96,-115.65,-105.11,31.76,65.62,61.89,42.02
AQ,,0.03,,,,438.65,"1,235.39","1,768.26","1,546.62",,-89.46,173.3,-285.61,"-2,216.81",,
AQUA,0.02,0.16,0.08,0.06,0.05,432.26,643.2,771.95,749.08,683.42,31.22,291.14,284.24,285.17,236.57,13.24
ARIP,0.07,0.07,,,,252.39,530.52,276.69,325.96,178.34,31.31,33.14,-13.75,-9.86,1.85,144.54
ARROW,0.66,0.65,0.74,1.03,1.04,788.96,889.96,"1,014.30","1,224.64","1,365.66",93.52,129.63,148.41,245.66,262.71,16.5
AS,0.99,0.17,,,,"2,016.32","1,714.77","1,263.40",918.5,880.6,303.96,51.94,-390.68,-475.15,-216.68,
ASAP,,,,,0.16,,,,,"1,459.44",,,,,69.83,43.08
ASEFA,,,34.18,0.45,0.52,,,"1,704.19","2,563.17","2,814.21",,,113.83,206.75,288.23,14.52
ASIA,5.52,15.6,6.25,11.28,0.11,"1,269.54","1,790.03","1,400.67","1,662.77","1,364.43",176.54,499.25,200.03,361.07,3.53,456.06
ASIAN,0.08,,,0.5,0.43,"10,556.62","9,427.25","7,950.51","8,093.55","9,347.97",27.93,-198.7,-129.35,182.63,154.64,15.95
ASIMAR,0.25,0.25,0.16,0.35,0.19,632.77,719.81,607.67,766.39,614.59,58.63,65.52,40.57,90.18,48.37,14.14
ASK,1.63,1.86,1.91,1.93,2.01,"2,051.44","2,460.40","2,684.93","2,722.11","2,815.93",488.35,640.92,671,680.61,706.68,10.91
ASN,,,,0.23,0.23,,,,160.91,164.46,,,,24.62,27.84,29.69
ASP,0.29,0.51,0.39,0.26,0.36,"2,082.35","3,109.20","2,767.96","2,174.33","2,479.95",603.14,"1,067.33",827.88,557.74,755.65,9.31
ATP30,,,0.05,0.04,0.05,,,235.01,265.97,302.58,,,8.04,11.8,21.93,43.88
AU,,,,,0.18,,,,,608.39,,,,,98.77,75.58
AUCT,0.15,0.15,0.37,0.34,0.23,352.26,474.77,721.48,724.06,607.49,34.09,69.57,202.44,187.65,125.61,34.21
AYUD,0.38,2.36,7.45,2.71,2.46,"3,464.73","3,959.31","4,106.26","2,838.41","4,052.00",94.94,589.94,"1,861.88",676.91,615.17,15.38
BA,,0.62,0.21,0.86,0.84,,"21,115.36","22,561.22","25,407.06","27,451.33",,932.46,351.11,"1,796.86","1,768.41",51.13
BAFS,1.56,2.07,1.49,1.5,1.72,"2,670.90","3,133.71","3,024.84","3,359.64","3,711.52",796.53,"1,054.13",757.75,957.69,"1,097.12",23.55
BANPU,34.19,1.22,1.04,,0.46,"125,738.43","108,338.55","106,461.16","88,168.04","85,092.29","9,293.20","3,151.00","2,679.63","-1,534.25","1,677.12",26.87
BAT-3K,,5.97,10.26,11,7.83,"5,768.40","5,623.25","5,293.78","5,128.51","5,355.82",-269.47,119.46,205.18,219.91,156.51,27.3
BAY,2.41,1.95,2.33,2.54,2.91,"83,876.57","94,042.95","95,828.32","106,784.96","111,839.72","14,625.33","11,866.65","14,169.53","18,634.19","21,404.03",12.35
BBL,17.3,18.81,19.03,17.91,16.67,"125,997.33","134,691.21","138,964.84","143,242.04","140,919.56","33,021.46","35,905.57","36,332.18","34,180.63","31,814.85",10.86
BCH,0.46,0.23,0.21,0.21,0.3,"4,531.11","4,796.41","5,381.50","5,854.61","6,610.95",910.29,584.74,521.87,527.33,753.09,45.48
BCP,3.1,3.38,0.52,3.01,3.47,"168,162.16","189,413.27","185,475.60","151,873.23","145,900.28","4,272.56","4,652.92",711.59,"4,150.76","4,773.38",6.87
BCPG,,,,33.32,1.1,,,,"3,038.24","3,380.37",,,,"2,147.37","1,541.33",21.17
BDMS,5.14,4.05,0.48,0.51,0.54,"48,829.82","52,394.62","58,042.14","65,188.32","70,496.17","7,936.95","6,261.46","7,393.52","7,917.47","8,386.48",37.78
BEAUTY,1.35,0.7,1,0.13,0.22,777.65,"1,002.66","1,385.27","1,792.03","2,558.84",173.7,211.41,301.16,402.49,656.01,46.27
BEC,2.39,2.79,2.21,1.49,0.61,"15,127.81","16,696.99","16,381.51","16,017.91","12,534.57","4,777.25","5,589.48","4,414.99","2,982.71","1,218.29",48.12
BEM,,,,0.17,0.17,,,,"13,566.03","13,580.74",,,,"2,649.74","2,605.85",42.52
BFIT,0.48,0.51,0.48,0.49,0.65,393.78,385.2,355.9,321.15,310.31,96.1,102.65,96.16,98.46,129.82,30.7
BGT,0.11,0.06,,0.02,0.11,939.77,876.2,821.07,748.83,846.55,38.84,20.07,-2.89,7.08,39.6,18.03
BH,3.66,3.46,3.75,4.72,4.98,"14,041.64","14,657.27","15,910.54","17,941.96","18,128.01","2,666.73","2,520.78","2,730.30","3,435.83","3,626.17",35.17
BIG,1.25,81.77,0.05,0.13,0.24,416.15,,"3,451.95","4,767.53","5,663.12",15.62,"1,081.61",136.98,459.45,846.4,20.65
BIGC,7.44,8.46,8.77,8.36,7.77,"123,732.53","130,970.69","135,394.53","133,709.11","120,918.45","6,073.77","6,975.58","7,234.77","6,897.59","6,408.66",28.42
BIZ,,,,416,0.23,,,,318.94,743.23,,,,20.79,70.24,24.88
BJC,1.52,1.53,1.06,1.75,1.54,"38,120.48","42,904.35","44,217.47","44,596.32","137,779.14","2,414.79","2,425.97","1,679.50","2,791.73","4,001.19",41.8
BJCHI,352.77,4.93,3.14,0.83,0.07,"3,652.58","3,928.89","4,581.33","5,753.91","5,324.53",791.62,"1,206.30","1,003.67","1,320.18",112.41,
BKD,0.31,0.03,0.13,0.19,0.08,968.77,601.28,906.83,"1,153.61","1,367.83",162.18,14.79,94.39,159.06,78.93,24.54
BKI,8.23,22.99,21.66,22,22.78,"12,042.47","12,368.85","13,077.03","13,443.60","18,340.18",625.77,"1,748.47","2,305.75","2,342.33","2,425.79",15.36
BLA,2.73,3.62,1.57,2.41,3,"39,831.46","46,444.04","61,498.43","55,509.16","55,482.25","3,284.37","4,380.50","2,661.75","4,108.20","5,110.30",5.98
BLAND,0.03,0.13,0.1,0.06,0.18,"4,457.57","6,396.90","7,070.60","5,971.61","8,973.32",621.21,"2,337.87","2,096.22","1,203.42","3,443.02",19.11
BLISS,,,,,,373.23,193.15,469.15,853.04,690.69,-50.4,28.3,4.8,24.99,-165.49,
BM,,,,0.26,0.16,,,,806.13,850.86,,,,67.7,59.42,27.73
BOL,0.11,0.11,0.1,0.08,0.09,381.25,404.69,455.88,341.96,399.44,85.41,90.03,79.13,61.19,72.59,20.04
BPP,,,,,1.74,,,,,"9,813.83",,,,,"4,138.13",19.78
BR,,,0.96,0.69,0.23,,,"8,509.39","7,758.95","8,107.86",,,660.86,550.15,212.93,30.19
BROCK,0.03,,0.01,0.01,0.01,123.65,70.04,87.98,81.04,75.44,30.66,-15.5,12.14,8.26,5.46,431.6
BROOK,0.44,0.32,0.27,0.24,0.15,544.52,638.07,494.56,"1,183.52","1,122.34",326.37,254.37,255.85,807.4,805.75,5.1
BRR,,0.49,0.44,0.4,0.17,,"4,008.80","3,954.03","4,295.86","4,685.53",,205.33,235.97,271.96,113.08,26.89
BSBM,,0.09,0.01,,0.24,"2,410.26","2,649.54","1,940.78","2,054.27","2,510.45",-12.37,102.71,9.6,-86.06,268.1,6.65
BSM,0.09,0.2,0.03,0.01,,443.86,547.27,512.9,563.14,528.4,13.95,29.02,24.53,14.62,-10.63,
BTC,0.19,,,,,73.22,47.31,23.07,66.09,98.53,127.24,-235.64,-46.97,-42.54,-53.57,
