Name ,No.,Links,Sign,Last,Chg%,Volume,Value (k),MCap (M),P/E,P/BV,D/E,DPS,EPS,ROA%,ROE%,NPM%,Yield%,FFloat%,MG%,Magic1,Magic2,PEG,CG
Average,,,,30.17,-0.15,"8,178,418.42","67,256.37","23,191.58",38.96,2.7,1.77,0.88,2.36,5.72,4.73,2.95,3.19,43.3,14.47,505.34,506.4,-0.68,1.78
2S,1, i | 1 | 2 | 3 ,,5.5,-0.9,"630,200","3,506","2,200",6.44,2.23,0.54,0.1,0.85,29.45,33.85,9.02,2.43,60.53,,43,28,0.04,2
A,2, i | 1 | 2 | 3 ,,6.55,0,"45,000",295,"6,419",27.94,1.92,3.08,0.05,0.23,4.17,7.07,2.51,0.76,26.9,,700,735,0.24,
AAV,3, i | 1 | 2 | 3 ,,6.15,-1.6,"8,313,300","51,363","29,828",20.85,1.37,1.26,,0.29,5.14,6.66,5.97,2.4,63.94,,647,641,0.06,2
ABC,4, i | 1 | 2 | 3 ,,0.21,0,"4,117,000",864,"1,659",,3,0.73,,0,-12.94,-20.73,-79.08,,37.54,,,,,
ABICO,5, i | 1 | 3 ,,10.7,0,"158,500","1,706","2,515",16.86,3.15,0.61,0.08,0.63,13.84,20.35,23.19,0.7,34.02,,300,316,0.51,
ACAP,6, i | 1 | 2 | 3 ,,20.3,-0.98,"1,377,300","27,919","6,185",26.76,5.97,3.54,,0.76,5.81,26.72,37.93,,62.04,,367,665,-0.14,2
ACC,7, i | 1 | 2 | 3 ,,0.54,0,"519,900",279,648,,0.84,1.23,,0,3.41,-3.26,-1.62,,77.35,,,,,
ADAM,8, i | 1 | 2 | 3 ,SPNC,14,0,0,0,"3,922",,24.14,2.17,,0,19.25,,-177.72,,53.09,,,,,
ADVANC,9, i | 1 | 2 | 3 ,,172.5,0,"3,896,100","673,766","512,859",16.93,13.67,6.44,4.29,10.19,17.42,81.11,19.69,5.84,36.22,,219,269,1.79,2
AEC,10, i | 1 | 2 | 3 ,,0.6,0,"311,500",187,735,,0.64,1.38,,0,,,2.17,,71.19,,,,,1
AEONTS,11, i | 1 | 2 | 3 ,,111.5,-0.45,"11,900","1,332","27,875",11.6,2.04,4.3,1.85,9.61,4.2,18.69,13.9,3.08,29.98,,212,502,0.07,1
AF,12, i | 1 | 2 | 3 ,,0.8,-1.23,"36,530,400","30,115","1,280",28.24,2.35,3.11,0.01,0.03,2.75,8.01,14.91,6.54,18.67,,680,788,,1
AFC,13, i | 1 | 2 | 3 ,,8.8,0,"2,700",24,401,39.74,0.38,0.16,,0.22,0.67,0.97,2.45,,38.36,,894,924,-0.26,
AGE,14, i | 1 | 2 | 3 ,,1.4,0,"591,800",830,"2,307",15.33,1.61,1.75,0.07,0.09,6.87,10.79,0.86,5,45.22,,458,485,-0.07,2
AH,15, i | 1 | 2 | 3 ,,23.5,1.29,"1,115,400","26,447","7,581",11.98,1.18,0.77,0.33,1.96,6.86,10.15,5.52,2.85,41.06,,404,413,-0.17,2
AHC,16, i | 1 | 2 | 3 ,,32.75,-0.76,"2,800",92,"4,910",31.82,3.38,0.18,0.63,1.03,11.4,10.83,8.02,1.91,55.69,,635,518,2.06,2
AI,17, i | 1 | 2 | 3 ,SPNPNC,1.52,0,0,0,"4,256",14.58,2.08,0.21,0.01,0.1,5.92,9.75,2.42,1.7,49.08,,477,514,0.18,
AIE,18, i | 1 | 2 | 3 ,SPNPNC,0.67,0,0,0,"3,028",31.26,1.63,0.22,,0.02,-3.15,-4.55,-19.67,,28.81,,,,-0.14,
AIRA,19, i | 1 | 2 | 3 ,,2.46,0,"104,100",257,"14,805",,4.47,1.18,0.01,0,-1.18,-3.86,-15.09,0.38,30.94,,,,,1
AIT,20, i | 1 | 2 | 3 ,,28.25,-0.88,"371,800","10,510","5,829",12.82,1.93,0.6,1.5,2.2,11.96,15.19,11.7,7.02,70.51,,293,269,4.09,1
AJ,21, i | 1 | 2 | 3 ,,13.8,0,"177,600","2,467","5,512",22.82,1.63,1.58,0.1,0.6,3.97,7.4,4.83,1.45,44.88,,641,692,0.04,1
AJD,22, i | 1 | 2 | 3 ,SP,1.18,0,0,0,"5,004",14.08,3.11,0.71,,0.08,24.99,25.3,13.9,,64.4,,215,184,0.01,
AKP,23, i | 1 | 2 | 3 ,,2.36,0,"510,400","1,206",953,18.34,2,0.2,0.07,0.13,11.89,11.17,7.79,2.97,48.51,,484,370,8.53,2
AKR,24, i | 1 | 2 | 3 ,,1,-0.99,"448,900",453,"1,343",,1.15,0.8,0.03,0,-3.24,-7.03,-7.15,2.48,65.55,,,,,1
ALLA,25, i | 1 | 2 | 3 ,,2.46,2.5,"1,793,200","4,389","1,476",30.89,2.02,0.27,0.02,0.08,3.33,3.02,5.27,0.83,24.98,,809,788,,
ALT,26, i | 1 | 3 ,,7.1,-1.39,"2,158,400","15,346","7,100",28.94,3.78,0.74,0.1,0.25,10.11,20.69,10.46,1.39,25.57,,428,531,0.83,
ALUCON,27, i | 1 | 2 | 3 ,,301,-0.33,600,181,"13,003",12.36,2.42,0.24,15,24.35,19.86,20.74,15.41,4.97,21.95,,210,162,0.64,2
AMA,28, i | 1 | 2 | 3 ,,22.5,0,"813,000","18,312","9,711",52.45,4.68,0.49,0.25,0.43,9.68,12.44,16.87,1.11,29.73,,673,657,,
AMANAH,29, i | 1 | 2 | 3 ,,1.96,-0.51,"6,228,600","12,332","1,862",40.9,2,1.77,,0.05,2.44,5,13.51,,30.93,,826,873,-0.62,2
AMARIN,30, i | 1 | 2 | 3 ,,6.75,-0.74,"35,000",236,"2,835",,1.88,2.27,,0,-3.81,-40.66,-21.22,,20.72,,,,,1
AMATA,31, i | 1 | 2 | 3 ,,16.8,0,"1,758,700","29,750","17,926",13.1,1.49,0.97,0.3,1.28,7.99,11.74,25.38,2.68,76.94,10.21,382,396,1.09,3
AMATAV,32, i | 1 | 2 | 3 ,,7.3,1.39,"701,900","5,118","6,826","1,199.78",2.46,0.86,0.05,0.01,2.52,0.19,1.2,2.78,25.19,,"1,008",960,-20.35,1
